voter,ionDistribution,ionDistributionParsed
0xE0E216283eef00895b6ABAa73848448596B85724,0.6577377510290434,657737751029043400
0xfd22dDE4BD14e5f23c66fFbabc6Cfa4490BE0267,0.676156168694025,676156168694025000
0xeDBD6E1F8E221BF5755EBD3f9A5E6B8368850666,0.6881056332485982,688105633248598200
0xfc756aCC4FbEb41e135251c733b209b85475c562,0.7491647758636346,749164775863634600
0xf340182120B3Ae50223966Cb3a7c8eD809281678,0.7599103462665855,759910346266585500
0x37e7262CB909dD674e102ED54D186e27B371C88F,0.7931316822733716,793131682273371600
0xd5169217ec76D2E691Ab69714fCA423967075a4B,0.8671183619284403,867118361928440300
0x4306ca986546d7DE4ceA003Cd7095B88BAF605b5,0.9090398084746095,909039808474609500
0x980F49A9b134fB3Da54cc8d698f2A16f9C511596,0.9527142365571507,952714236557150700
0x78c38e26aa22F014644cA6fD5aBf479e0e630159,0.9544639719095036,954463971909503600
0x18eF14E38FE6090666c072fdC43cbEE338037095,0.9599473045165308,959947304516530800
0x0231c394C40C6DdBDDe3499228168cAAd1D80aF7,0.9755233448908375,975523344890837500
0x21554F917cF9Fd887aeFE8702c5D7b1625D5C5f4,0.996592438549164,996592438549164000
0x0eDF2aB6295C02D405667196c4403E9B9b2aaFC4,1.0840513330477883,1084051333047788300
0xaD4b6B04E67eDb63f951103283dC2E5dddcb0046,1.2046155713895164,1204615571389516400
0x2D8c20Ecc1C769d0EFB2576097fC20FC26d62398,1.3069576944698,1306957694469800000
0x27758af2Cf0Cfbe9D3E220A624Ae8f6D925C1D59,1.3322859754212477,1332285975421247700
0x52335Cf37fEAb96A80edcd70eb48821201D56914,1.4670034461354275,1467003446135427500
0x98289029B0d4bB73Ead9Eb1A3300eD724Fcf6779,1.478905007997799,1478905007997799000
0x8a52E9fa395E362B33f2a1b9191EbD0E44Ccd83a,1.5768490957206467,1576849095720646700
0x13B19fd63d34Be9d3D6d25ebd7142134C0cfc725,1.699843586078325,1699843586078325000
0xfac379E75b073d943aB27216AB67c4977C8dCc88,1.7569184030218907,1756918403021890700
0x9bD11E9313f61b2AeD601eb9d8271c3230752e7E,1.8432323948314993,1843232394831499300
0xF054FDF38bEeeB1f9E8eDA941bB11A8dFdc0155C,1.8761375198198165,1876137519819816500
0xe8055C3ddEcBA9aEBe394D8fA33cCE8705B82F0e,1.9436752390828695,1943675239082869500
0x175c60916Ccd377C6d9D8a1B58863dFdeca90Cfd,2.032895097285396,2032895097285396000
0xceE10CC0C025d962B31679E58F36AA1De2B6C752,2.137191650864653,2137191650864653000
0xAa6C7B556449e1d5A75b6322a256180eDD1c8Edc,3.0287186190006583,3028718619000658300
0x891Ade8337151B26dcbE6662E5180F00eD14959d,3.41325783160007,3413257831600070000
0xF4baC640e541363046be953a7226991d652e1573,3.551966479262066,3551966479262066000
0x62ee67Dd4B1e95F0b123842B26B502DA1da10C37,3.6274898257967716,3627489825796771600
0xC265A526f733d4554740Ea7D6c846E7263020685,3.7672219745765037,3767221974576503700
0x529497b2D1DfD5c23b3680ae5e12B12cb0AA2c7A,3.8038314669709252,3803831466970925200
0x1Fe82beA7Aa95e9595777A10712a4A60BCF9c6Be,4.526559889275382,4526559889275382000
0xD044A705a95Be2dcAda37707e7F26cc9420185e0,4.670728850745922,4670728850745922000
0x0F73120ef48d881E9bccc01070cF26CB8e0d162F,4.678741277926404,4678741277926404000
0x6564a0e66E63c7429d47945bF5310fb0d758337d,4.847930392209109,4847930392209109000
0x0e04CAB2146752790F9D4a7d68806d0531f967CA,4.883385563594244,4883385563594244000
0xD08c3C698C25B3cC25B6d9BB7a9224070679B04b,4.9621268405805266,4962126840580526600
0xaB23aA61743AE64c1CCa935aB4dec33839Ae74AB,5.1262545379753055,5126254537975305500
0x20F8170f595Bd82dD166553FC8E7267e273dA1E5,5.163093192232226,5163093192232226000
0xc22f1a68d9f91800cc32234fe62f3edBD26e0E2A,5.1702940566165765,5170294056616576500
0x0E411A9Fab733c4B2db0ad4B4DaAc0dC7c1F9a0d,5.210313011159851,5210313011159851000
0x22ecF64F6Bf411Ef54354524c5E82E4Ea997d476,5.782488594174531,5782488594174531000
0x657AA7705c68b4c129f3b90C6aa45d7a4171f87c,5.889001717199115,5889001717199115000
0x78DbaA564196E52d16caf9a4745A461748C6a99D,5.9035375116189694,5903537511618969400
0x5A9E3Cc9E08e88C7bAEfee41b35EcFbEE33824aE,6.056818951356195,6056818951356195000
0x9b5a493A922FBDfeBef5Ea026279d6c1C24f29E2,6.093354141031802,6093354141031802000
0x68d3D948f408aC0B738907c4DC3B7282535a234B,6.099834516819297,6099834516819297000
