voter,ionDistribution,ionDistributionParsed
0x002748dB885D4CCfe3C7C92143f0805F4eBEEC01,0.8880445601800405,888044560180040500
0x980F49A9b134fB3Da54cc8d698f2A16f9C511596,1.0143259393963606,1014325939396360600
0x78c38e26aa22F014644cA6fD5aBf479e0e630159,1.0462188573318827,1046218857331882700
0x16B00dB74167b7469dDa63b674Ca9A3B1b70C439,1.0565656715096956,1056565671509695600
0x4B710d3Ed4B1822658cb4498B485277bBf537d23,1.1726324901707659,1172632490170765900
0xbB86cDfD0ac4593ebc012be31f8806d036B7703a,1.1855959052561642,1185595905256164200
0xaD4b6B04E67eDb63f951103283dC2E5dddcb0046,1.3149730414587548,1314973041458754800
0xF778a89195C1167F7a2B807502Bf42a5C5472377,1.3700063188220368,1370006318822036800
0xcCB2A598DF614A87FceDa1d2993E9D7E4E20FF95,1.3919110911746007,1391911091174600700
0xfac379E75b073d943aB27216AB67c4977C8dCc88,1.4912463145161592,1491246314516159200
0xd5169217ec76D2E691Ab69714fCA423967075a4B,1.6082937175246443,1608293717524644300
0xfc756aCC4FbEb41e135251c733b209b85475c562,1.6484203786274791,1648420378627479100
0x3C40dA032FeD956eF396D0E1644da7D1640446b1,1.6756728620153212,1675672862015321200
0x4306ca986546d7DE4ceA003Cd7095B88BAF605b5,1.7665897509702995,1766589750970299500
0x891Ade8337151B26dcbE6662E5180F00eD14959d,1.8856830848050394,1885683084805039400
0x529497b2D1DfD5c23b3680ae5e12B12cb0AA2c7A,2.0503024519156434,2050302451915643400
0x2Ab418201D242757320d7b8c921e61d9eD95ACd3,2.100911730227723,2100911730227723000
0x1Fe82beA7Aa95e9595777A10712a4A60BCF9c6Be,2.262942463886136,2262942463886136000
0xE0E216283eef00895b6ABAa73848448596B85724,2.34525016387438,2345250163874380000
0x0fb27f4a1466e4BA6C0b2C3171FCD4DDb89e478d,2.354009362372355,2354009362372355000
0x6083859b40cEA1a98682a50296c6b647B21a9E2b,2.417077381938769,2417077381938769000
0x3f8329E3ce0962bC9819Cf5057E672a19d5979fE,2.5308200376439607,2530820037643960700
0xF054FDF38bEeeB1f9E8eDA941bB11A8dFdc0155C,2.568281952212109,2568281952212109000
0xfd22dDE4BD14e5f23c66fFbabc6Cfa4490BE0267,2.6610296241300446,2661029624130044600
0xeDBD6E1F8E221BF5755EBD3f9A5E6B8368850666,2.7537428345404766,2753742834540476600
0x5b65755A36e25C14Bf5D02bC39c72435B96e7AB4,2.9207187938385673,2920718793838567300
0x27758af2Cf0Cfbe9D3E220A624Ae8f6D925C1D59,3.5385198380603065,3538519838060306500
0xb2D5E3d85827dBe495497CAe5F70E0FABb5D1352,3.637165335155149,3637165335155149000
0x9cC50F63FA3e29163E8A66fE9bf46D75d151c159,3.784892349103909,3784892349103909000
0xD4ba6D7866026bFfa4D89399AcBFBD6a57642Fd5,3.945799138496616,3945799138496616000
0x5A9E3Cc9E08e88C7bAEfee41b35EcFbEE33824aE,3.97024643280433,3970246432804330000
0x45C3707c25eCe1e4705a5d708685f0a77Dc18cD1,4.042796504512563,4042796504512563000
0xd98e78bdb53643563f7B797D2Ff93d1f585ECBed,4.1504957297471945,4150495729747194500
0x193f7e4cDE8A4d14Dd41914Ee35A1FB6F5b777ec,4.213384017073728,4213384017073728000
0x11754D553729454Ba17bc3D7D31f8b95fE414628,4.217729352984807,4217729352984807000
0x4C51B80A4cBd3ffdBdE8240214bf0C570fC87198,4.281223605091603,4281223605091603000
0x98438275579d59c76A0516178e1b0c729F77781B,4.73274143676402,4732741436764020000
0x62ee67Dd4B1e95F0b123842B26B502DA1da10C37,4.996984900552555,4996984900552555000
0x0e04CAB2146752790F9D4a7d68806d0531f967CA,5.096263915195918,5096263915195918000
0xB88298E585c87e6d8820D7Ee270B4719844db93e,5.375063700322589,5375063700322589000
0xaB23aA61743AE64c1CCa935aB4dec33839Ae74AB,5.5251230319728375,5525123031972837500
0x7d2C48765c8552A8f15e3c07E59F97c0A6e84d36,6.124135106091803,6124135106091803000
0xF64Ce82aEF4c488DeB8d0646debA2e91D871DC68,6.963698539843408,6963698539843408000
0x78DbaA564196E52d16caf9a4745A461748C6a99D,7.3012888448713555,7301288844871355500
