timestamp,voter,votingPowerCastForGauge,percentageOfTotalVotingPower,ionDistribution,ionDistributionParsed,votesCast,totalVotingPowerInGauge,numVotes,tx
1732157469,0x8fbBb256bb8bAc4Ed70a95D054F4007786a69e2B,1206302781062758357937,0.000005281523611153184,1.320380902788296,1320380902788296000,1206302781062758357937,86915666923800316729508664,1,0xf21ea2ddd7a9eb5bbaffdc8e261e81fb48f80707d310da3c8119d186b9f2722e
1732157751,0xF68D2BfCecd7895BBa05a7451Dd09A1749026454,1061660102997922626623543,0.004648238393401444,1162.059598350361,1162059598350361000000,1061660102997922626623543,87124042657376924872430117,1,0xbaddb2441c847ba2b79ddad75a534d39d2865e8f5c19099a5d0498df44b74926
1732157751,0xF68D2BfCecd7895BBa05a7451Dd09A1749026454,1775680811352331121357345,0.007774416405445616,1943.604101361404,1943604101361404000000,1775680811352331121357345,87472561727292630971036053,1,0xbaddb2441c847ba2b79ddad75a534d39d2865e8f5c19099a5d0498df44b74926
1732157751,0xF68D2BfCecd7895BBa05a7451Dd09A1749026454,15708945854847131935417,0.00006877806280576392,17.19451570144098,17194515701440980000,15708945854847131935417,87475498111450508387424691,1,0xbaddb2441c847ba2b79ddad75a534d39d2865e8f5c19099a5d0498df44b74926
1732158263,0xb253c1b6A39eDaC49AB23eBBA251608a302cA612,275729329614022964727827,0.0012072184425877886,301.80461064694714,301804610646947140000,275729329614022964727827,87751227441064531352152518,1,0x7456990d2be7639bb0770fb0d5b40f189eb374f2f7be15b5c1f018518d0c900e
1732158987,0xB4173fEe41920a8e7D3451863f9779468EbAb98E,1357030349167662669234,0.000005941450142281969,1.4853625355704922,1485362535570492200,1357030349167662669234,87751510644965810531212562,1,0x7205088ac2295527a92846659aadd7358b0a85736e46d619993ad26b7e7ffbbb
1732159661,0xcC924d498Ae08c844546cFCE81556e7C1fF6b525,2074690224880832396373,0.000009083561424672498,2.2708903561681244,2270890356168124400,2074690224880832396373,87737709523266704727148605,1,0xe23736e6aa0fc53084fda45a085aef4b3fdf53bc923a0c9232e6e5c3e8e00292
1732159661,0xcC924d498Ae08c844546cFCE81556e7C1fF6b525,4813426925471015727929,0.00002107449999828281,5.268624999570703,5268624999570703000,4813426925471015727929,87742522950192175742876534,1,0xe23736e6aa0fc53084fda45a085aef4b3fdf53bc923a0c9232e6e5c3e8e00292
1732159661,0xcC924d498Ae08c844546cFCE81556e7C1fF6b525,4803169244685854803949,0.000021029589065378576,5.257397266344644,5257397266344644000,4803169244685854803949,87747326119436861597680483,1,0xe23736e6aa0fc53084fda45a085aef4b3fdf53bc923a0c9232e6e5c3e8e00292
1732160011,0xfe10Ac8B69c9978301c473546E43e2324be940C8,3991729339993268749658,0.000017476883158582842,4.369220789645711,4369220789645711000,3991729339993268749658,87706828521108005281574561,1,0xacd2765dfe402d5a1805dbe0104f4c115ed1425165cd098163eb4fc4a99e9dcd
